,title,release,lyrics
0,アイ・アムRiri,20090218,悲しみの淵でShe was singing sorrowfully遠い昔の話　その子の名はRiri　美しい容姿に兼ね備えられた知性聞くもの皆　癒す歌声　しかしそれを嫉む者も　「アイツを罠に…」闇を越え　そして森を抜け　誰も近づかないあの宮殿におびき寄せる全てはそこからはじまったんだそれは　それは　悲しみのストーリー遮られた光　体温を奪うコンクリート4m四方ほどの　色彩のない景色枯れ果てた涙腺　憂いのDIVAそして自分が誰なのかも分からなくなって自分の存在意義認識の為に歌うことそれだけは唯一やめようとはしなかったメロディーの旋律の中では　悲しみさえも消えた届くことの無い想いの中でRiri はこう歌うことが多かった「今あるものだけでも失くさないでいよう…」assert yourself(shout yourself hoarse)I'm Riri　希望　絶望　命の美しさを叫ぶ(shout yourself hoarse)I'm Riri　何も見えないで　自分さえ消えそうだから　歌うことで示すLife捻じ曲がった情勢　破滅へのカウントダウン正義と名をうった　都合の良い規則やルールそんなもんが嫌で逃げ込んだこのライブハウス「俺達は現代のRiriとも言えよう」自由と言う名の　生まれからの囚われの身確率変動も無意味なページで　何かを求め　一つを求め集まる俺達は核集合体今解き放つ言葉　yeah心の目かっさらってよ　Like it此処に居るよとassert yourself(shout yourself hoarse)You're Riri　さぁ　歌え　さぁ　叫べ　此処はお前の居場所さ(shout yourself hoarse)You're Riri　言いたいこと言えば　生きて行けぬ世界ならば此処で叫んで繋げよLifeassert yourself(shout yourself hoarse)You're Riri　希望　絶望　命の美しさを叫ぶ(shout yourself hoarse)You're Riri　さぁ　歌え　さぁ　叫べ　此処はお前の居場所さ(shout yourself hoarse)You're Riri　君が此処に居ること感じたいよ(shout yourself hoarse)言いたいこと言えば　生きて行けぬ世界ならば此処で叫んで繋げよLife
0,ai ta 心,20050706,遠く儚いものに　one chance 消えてくただHey baby Don't stop lovin' 苦しいほど愛しいflash back 好きだった言葉　play back心助けてと　always いつも抱きしめてた言葉を。マジな　恋愛だからこれしかない今もone love 他のに映らない俺のファーストクラス常にTOPクラスI believe that I can fly so highbefore one night永久さえ感じた　あの日はもう届かない程遠い　伝えたい言葉も　曖昧にしたまま過ごした時間がうすれるごとに　離れてく気持ちプレイバック　愛しのcat聞いてよ　オレが手にするものは偉大なスケール一律旋律　ほかにはないフレーズその先が照らす　真実なら一つまさにこれ理解するお前がいる立ち止まれば背中押してくれ心からの礼だけ言いたくて夢かなえばオレのそばにすれ違った人のにおいや　季節や景色町を歩いて聞こえてくる歌でさえもどこにだって君を感じて愛しさが増す叶わないものだとしても　忘れたくないから感じていようbefore one night孤独を感じた　曖昧にしたままの　すれちがった言葉さえbefore one night拾い集めても　冷たい風が吹き出す　君の後ろ姿からプレイバック　愛しのcat聞いてよ　オレが手にするものは偉大なスケール一律旋律　ほかにはないフレーズその先が照らす　真実なら一つまさにこれ理解するお前がいる立ち止まれば背中押してくれ心からの礼だけ言いたくて夢かなえばオレのそばにすれ違った人のにおいや　季節や景色町を歩いて聞こえてくる歌でさえもどこにだって君を感じて愛しさが増す叶わないものだとしても　忘れたくないから愛しすぎてすれ違って傷つけあったり飽きれる位　笑い合った日々どこにだって君を感じて愛しさが増す叶わないものだとしても　忘れたくないから感じていよう
0,IDEAL REALITY,20170802,理想と言う現実へ　6人で立てた誓い闇の中走る同志達を　照らせるような太陽になろう進化してく為にも常に　俺達白いキャンパスでいよう刻み込みたくなった刺青なら　心の奥に掘って行こうこの街は誰かに争わされて　猿が爆弾ぶっ放す三大欲より満たしたい欲　10キロ分走らせるペンとペーパー夜を乗り越えて行くリリシスト　明けて太陽突き合わす Fistこのパーティが終わる頃にはもう俺たちの宇宙Let coming Light...Let coming Smile...レコードに針落とす君も探してたんだろ？ずっと待ってたんだろ？そのたった1日が　10年よりも愛おしい甘いお菓子のような儚い若さのようないつかのキスのようなこの理想的な現実へ素敵な夜へまだ眠れないのは　もう君が既に夢の中にいるから今はさ　ほんの少しの不安を抱いてこの夜が明ければ終わるのか？いや言い切れやしないよ　この曲生み出す時はスタジオに朝と夜が順番に来る事の方が少なかった常識は最早タブー　東西南北 We go　上へ行こう第1第2第3都市　海を越え闇を抜け新規　古参で向かうオリジナルの頂投下　拡散　電波音源を通じあと残りわずか俺達の心の数センチの距離を現場に埋めに来なよLet coming Light...Let coming Smile...その今見せている側の逆の一面あっち側ではなく　こっち側から見たあの世の人からすれば　この世界はまたあの世そう此処は歓喜の祭典道楽の刹那の油田無関心以外は巻き込める下にいなきゃ上に行けへんで理想と言う現実へ　6人で立てた誓い闇の中走る同志達を　照らせるような太陽になろう進化してく為にも常に　俺達白いキャンパスでいよう刻み込みたくなった刺青なら　心の奥に掘って行こう君も探してたんだろ？ずっと待ってたんだろ？そのたった1日が　10年よりも愛おしい甘いお菓子のような儚い若さのようないつかのキスのようなこの理想的な現実へ素敵な夜へ理想的な現実へ僕と君の間の僅か残り数センチ心の距離　現場に埋めにおいでよLet coming Light...Let coming Smile...この街は誰かに争わされて　猿が爆弾ぶっ放す三大欲より満たしたい欲　10キロ分走らせるペンとペーパー夜を乗り越えて行くリリシスト　明けて太陽突き合わす Fistこのパーティが終わる頃にはもう俺たちの宇宙
0,I LOVE THE WORLD,20150826,"Take me awayDon't stopUp and downRock！Time flies, so go ahead！物議かもす格差　弱者の Realあの対岸の火事　明日は我が身 Realプラスマイナスも捉え様　進化をしトライせよそうノイズ一蹴　「いつか」は　もう今日だずっとそこにあるのに見えずに気付かない　馬鹿になる前にYeah　行こうぜ　Get up　ホントはそこにもここにもあるんだろほらどうしたんだ？ Wooなにお前　愛出し渋ってんだよほらどうしたんだ？ Woo無い愛を作って叫んでみろよRock！I LOVE THE WORLDI LOVE THE WORLDTake me awayさあよく見ろ　大人を手本にすれば Realそう未来は暗いと証明されてる Realでも　不安なんて唱えてないさ僕らは今夜も叫んでいたいI LOVE THE WORLDI LOVE THE WORLDTake me away踊って叫ぼうRock！Take me awayDon't stopUp and down満たされた世界で　無いもんばっかり探してんだろ？どんな世界でも僕らは　無いもん作ってアガっていたいWoo...Take me awayDon't stopUp and downTime flies, so go aheadその幸せは　誰かに勝つためじゃなくていい僕らの笑う理由は　誰を見返すためじゃなくていいI LOVE THE WORLDI LOVE THE WORLDTake me awayほらどうしたんだ？ Wooなにお前　愛出し渋ってんだよほらどうしたんだ？ Woo無い愛を作って叫んでみろよWoo Woo WooTake me awayDon't stopUp and downI LOVE THE WORLDI LOVE THE WORLDTime flies, so go ahead！Take me away"
0,AS ONE,20200304,"理想と闘争心の手綱を締め引き寄せてく正しさがあるから　ダメになるものも　この光も闇も愛もAS ONE気づけばもう　街から街　まるで逃げ道作るかのように善人も容易く悪人に　悲しみと喜びの区別もつかぬほど麻痺してくさよならも言えず　消えてく想いと寿命とTime信じがたい悲劇もさ　容易く起こる日々に陰と陽も　そう虚と実　善悪も産まれは同じ陰りが生じてダメになるものに　馴染んでくか？　変えてゆくか？AS ONE気づけばもう　追いつくことも無いほどに離れた心に善人も容易く悪人に　悲しみと喜びの区別も出来ぬほど霞んでく望んだラインに　届かぬ想いと寿命とTime刺激的な狂気もさ　容易く起こる日々に理想と闘争心の手綱を締め引寄せてく全ては　きっと無から有　それを生け捕り陰と陽も　そう虚と実　善悪も産まれは同じ正しさがあるから　ダメになるものも　この光も闇も愛もAS ONE3,2,1想像し創造考察して投下目に見えぬもの　その表裏全てAS ONE想像し創造考察して投下目に見えぬもの　その表裏全てAS ONE突然ブラックアウトもさ　容易く起こる日々に理想と闘争心の手綱を締め引寄せてく俺達が居るからダメになるものも　この光も闇も愛も陰と陽も　そう虚と実　善悪も産まれは同じ此処から先は　そこに馴染むか？　それを変えていくか？心死んだままでもう　帰ること出来ぬ場所想像し創造考察して投下目に見えぬもの　その表裏全てAS ONE想像し創造考察して投下目に見えぬもの　その表裏全てAS ONE"
0,AFTER LIFE,20191204,"Stand by me流星群が過ぎ去った後　誰しも夜空を見上げるのやめる明け方になり　はぐれて遅れた彗星に願いをかける　Stand by me俺等進行形　似て非なるもんで　互いの理想へ　掴む一等星幸せなんて　いつも染み込む振りして身体からすり抜けてって奇しくもどこか似たもん同志　誰といてもどこか独りぼっち解けぬ問題集　一人が好きなわけじゃない　誰も好きになれなかった何も知らないで笑ってたくない全て知ったつもり　嘆いてたくない群れるのを嫌って　掴み損ねた虹も数知れずStand by me俺達はずっと宇宙を　この身燃やしながらいつか夜空に煌く日を願う　彗星のようStand by me流星群とはぐれて　孤独に迷いながら誰も見上げてもいない夜空でも煌いたあの彗星のようにLive now, stand by me絆なんて消えてくもんで　大都会なんて無人島で初めましてが最初で最後の言葉の出会いばかり繰り返してる他人からすれば幸せそうに　何も満たされてはいない時あいつの一言で　この宇宙で何を探してたか分かったんだ今お前の周り　集まる人だかりそれもいつか去り　一人きりになり俺だけ隣で寄り添う　そんな未来も楽しみさStand by me未だに俺も生きるべきか　死ぬべきか考えるお前の事思い出すと　踏みとどまれるよStand by me楽しいと思えること　毎日起こるわけないだからくだらない事で笑いあえる人を大切にするんだろう生きてゆくほど　愛する者が増えてゆく事ばかりなのに生きてゆくほど　失うことの方が増えてゆく　そんなもんだろうけど今お前の周り　集まる人だかり全てが離れてしまった日も俺だけ隣で寄り添う　そんな未来は保証するぞStand by me俺達はきっと宇宙で　この身を燃やしながら流星群からはぐれてった孤独な彗星のようStand by me誰しもが見上げもしない　そんな日の夜空でもお前がその身を燃やし煌く時　俺はきっと見つけるぞ未だに俺も生きるべきか　死ぬべきか考えるお前の事思い出すと　踏みとどまれるよStand by me悲しい意味での孤独や　独りぼっちはもう無いだから燃え尽きることも　はぐれることも恐れぬあの彗星のようにStand by me"
0,a LOVELY TONE,20130814,Every word君に沢山　愛の言葉投げかけたけどまだ言えてない言葉が一つある一晩中頭の中を　引っ掻き回し集めた言葉翌日勢いを失って　何処へにも行けず消えて行く今までも愛の言葉をいくつも君には伝えてきたよoh forever『愛してる』なんて事も今じゃ　君には簡単に言えてしまうけど今日までずっと言えなかった言葉僕と一緒になろうよWords of loveGive it all一度だけ子供の頃に　憧れのヒーローに手紙を書いた僕の拙い言葉じゃ　何も伝えられない気がして気持ちが言葉を追い越して涙が止まらなかったあの日みたいだよ今日君に伝える事がある一生涯　僕が一回きりで使う言葉二度は言わない　君のために用意した僕と一緒になろうよWill you marry me?Every word今まで君にどれだけの愛の言葉かけたでしょうか?そしてこれから　僕は君にどれだけの愛の言葉かけると思う?解き方は『二人+残された時間×円周率』それが答えさそう全てが　計り知れず　これからも永遠に続く数式なんだねそうさ君を幸せに出来るのは他の誰でもなく　僕だと証明するよ永久の旅に連れ出す　運転手は僕じゃあ　よそ見は出来ないねoh foreverI wanna tell you everythingoh togetherDeep inside of my heartそう　いつだって　どんな言葉だろうと君に愛を伝え続けるよ今ある物全て　失ってしまって　訪れる最大の不幸は昔は君が隣に居たという　人生を生きて行くこともう君を知ってしまった　愛を知ってしまった孤独での生き方と引き換えに僕はもう覚悟が出来た　君の居ない未来に未練は無い誰よりも幸せにするから
0,Ultimate,20100915,"心はもう万全を期した今Fight to the end その美学の中で振り返れば制圧の情勢その反旗をひるがえす傾向忍び寄る完全抑制の警報　最悪なケース荒野で切り捨てる己の弱さすべて計らう決断のとき勝利のために非情になれるかその場から逃げればもう未来は無い　そう明日も無いそうさ　その先にある光を　その先にある光をJust Warたった一人の選ばれし人　Amazing　Shining逃げを打たず進めば　薄氷を踏むような日々もあるだろうJust War時として　最愛の友とも非情な戦慄強いられるは究極の勝ち残るための選択いわばそれは　冗談めいた法則で一人ひとつ配られた　戦い不服な顔で　それでいて僕らは「このままでいい」なんて終わらせていいはずないJust Warたった一人の選ばれし人　Amazing　Shining逃げを打たず進めば　薄氷を踏むような日々もあるだろうJust War時として　最愛の友とも非情な戦慄強いられるは究極の勝ち残るための選択Final preparation, you make up your mindStand up for what you fight forDo you see the future lit up with the hope ?Do you see the future lit up with the hope ?Just Warたった一人の選ばれし人　Amazing　Shining逃げを打たず進めば薄氷を踏むような日々もあるだろうJust War時として　最愛の友とも非情な戦慄強いられるは究極の勝ち残るための選択"
0,在るべき形,20140702,I wanna be myself 幸せも　未来も　過去も　欲しい物もEveryone そう在り方も違うでしょ？誰が僕のこの未来に　絶望していたとしても自分自身が終わってないかどうかだろう在るべき形へ大切な物を失って二日が経ち　それでも人生は続くと思い知らされる願うだけで叶うなら　努力だけで届くならきっと僕らもう誰も悩まないどうしてだよ　一人にされた日も裏切られた日も　あの子に振られた日も時間はかかっても　それも経験だしずっといつだって希望抱き　前向いて来れたけどでも　もし空から思い出が降ってきたらまだ僕は　悔しさで溺れてしまうでも　誰が僕のこの未来に　絶望していたとしても自分自身が終わってないかどうかだろう在るべき形へねえ　諦める日が来ても　正しく諦めたいんだよもし投げ出しただけなら　僕を許さないでくれ仲間だからこそ　許さないでほしい本当に怖い事は　暗い夜道じゃない悪人でもない　オバケでもない負ける事にも慣れ　頑張る仲間を見ても　何も感じなくなってゆく事もし今　空から思い出が降ってきたらまだ僕は　悔しさで溺れてしまうでも　誰が僕のこの未来に　絶望していたとしても自分自身が終わってないかどうかだろう在るべき形へ他の誰かの正解は　僕の答えじゃないそれぞれの複雑な数式の答えは　きっともう僕は見つけたからI wanna be myself 幸せも　未来も　過去も　欲しい物もEveryone そう在り方も違うでしょ？愛した人を愛し抜くより　その人への想いを諦めてしまう方が難しいでしょ？誰に期待されてなくていい誰もがあなたの　願いに絶望を抱いてたとしても構わず進んでゆけばいい　恐れないで何もかも君自身が終わらせるかどうかだろう在るべき形を他の誰かの正解は　君の答えじゃないそれぞれの複雑な数式の答えは　きっともう君も出てるんだろう
0,AWAYOKUBA-斬る,20120328,愛って　口先で簡単に言えるけど究極の愛の姿ってどんなんだろう過去の恋愛の答えは「その全ては答えを出せずに消えて行った」ってこと今あるすべてを up to you君の心を照らそうとして　真夜中の太陽になろうとした手をのばせば　触れられるくらい近くに居るのに　全ては知れない愛 育てるには　時間を　you never say neverいつも長い時間を必要とし　失う時は光速以上にup to you君がこの世から去れば　僕は君を追いかけこの世から発つ一人きりの寂しさは　もうない　そんな恋をあげるよmake go for the next step全てを受け入れ僕らは自由になる君を哀しませはしないようにと　また太陽に手を伸ばす心ごと　あわよくば　全てを奪いさってくれあと1時間だけは19歳で　次の年の広がる未来を楽しみにしているように10年後もそうやって同じように　来年の楽しい予定を立てていよう愛　育てるには　時間を　you never say neverいつも長い時間を必要とし　失う時は光速以上にup to you君が君で産まれた事を幸せに思う為に僕は生きる二人で信じた物が正しかったことを証明しようmake go for the next step全てを受け入れ僕らは自由になる君を哀しませはしないようにと　また太陽に手を伸ばす心ごと　あわよくば　全てを奪いさってくれ愛　もうダメかもとか言っておいて　今年も一緒に居れたね傷つけ合ったり　すれ違いを何度したってどうしたって嫌いにはなれないからmy lifeも　up to you誰もが送る日常を犠牲にして咲かす花は美しいただそれを見せたくて　また僕は太陽に手を伸ばす君がこの世から去れば　僕は君を追いかけこの世から発つ一人きりの寂しさは　もうない　そんな恋をあげるよ君が君で産まれた事を幸せに思う為に僕は生きる二人で信じた物が正しかった事を証明しよう心ごと　あわよくば　全てを奪いさってくれ
